Va,Vb,Vc,Ia,Ib,Ic,fault_type
-675.847739,-7232.079398,7907.927137,39.57412883,26.93495695,66.50908578,no fault
-593.4361394,-7278.465246,7871.901385,39.06391251,27.51099311,66.57490561,no fault
-510.9718272,-7324.204579,7835.176406,38.55022631,28.08458558,66.63481189,no fault
-428.4621276,-7369.293333,7797.75546,38.03311587,28.65568341,66.68879928,no fault
-345.9143696,-7413.727504,7759.641874,37.51262712,29.22423587,66.73686299,no fault
-263.3358857,-7457.503145,7720.83903,36.98880627,29.79019247,66.77899874,no fault
-180.7340109,-7500.616367,7681.350378,36.46169987,30.35350293,66.8152028,no fault
-98.11608245,-7543.063341,7641.179423,35.93135472,30.91411722,66.84547194,no fault
-15.48943868,-7584.840296,7600.329735,35.39781793,31.47198554,66.86980348,no fault
67.13858112,-7625.943523,7558.804941,34.8611369,32.02705835,66.88819525,no fault
149.7606375,-7666.369368,7516.608731,34.3213593,32.57928632,66.90064562,no fault
232.3693914,-7706.114243,7473.744852,33.77853309,33.12862041,66.9071535,no fault
314.957505,-7745.174616,7430.217111,33.23270647,33.67501182,66.9077183,no fault
397.5176423,-7783.547018,7386.029376,32.68392795,34.21841202,66.90233997,no fault
480.0424695,-7821.22804,7341.185571,32.13224625,34.75877274,66.89101899,no fault
562.5246563,-7858.214336,7295.68968,31.57771038,35.29604598,66.87375637,no fault
644.9568764,-7894.502619,7249.545743,31.02036959,35.83018403,66.85055363,no fault
727.3318076,-7930.089667,7202.757859,30.46027339,36.36113944,66.82141283,no fault
809.6421331,-7964.972319,7155.330186,29.89747152,36.88886504,66.78633656,no fault
891.8805417,-7999.147475,7107.266934,29.33201398,37.41331397,66.74532795,no fault
974.0397286,-8032.612102,7058.572373,28.76395101,37.93443962,66.69839063,no fault
1056.112396,-8065.363225,7009.250829,28.19333306,38.45219571,66.64552878,no fault
1138.091253,-8097.397936,6959.306683,27.62021083,38.96653626,66.58674709,no fault
1219.969018,-8128.71339,6908.744372,27.04463521,39.47741557,66.52205078,no fault
1301.738418,-8159.306804,6857.568385,26.46665734,39.98478826,66.4514456,no fault
