Year,Month,Feeder,Earth_Fault,Over_Current,Planned,Emergency,Total,L_G_Fault,L_L_Fault,L_L_G_Fault,LLL_LLLG_Fault,Open_Circuits,Insulation_Failure,Fault_Location_km,Fault_Duration_s,Weather_Factor
2017,January,,20,3,2,2,28,16,1,1,1,0,4,48.7,0.2,0.2
2017,January,,15,3,2,1,24,12,1,1,1,0,3,33.1,0.2,0.2
2017,January,,19,4,2,3,30,15,2,2,2,1,4,8.3,0.1,0.2
2017,January,,6,7,2,1,19,5,3,3,1,2,1,28.1,0.5,0.2
2017,January,,17,0,1,2,22,13,0,0,2,0,3,47.1,0.3,0.2
2017,February,,21,4,2,0,28,17,2,2,0,1,4,0.3,0.3,0.2
2017,February,,16,7,1,2,30,13,3,3,2,2,3,27.6,0.3,0.2
2017,February,,13,11,2,1,31,10,5,5,1,2,2,46.2,3600.0,0.2
2017,February,,11,4,2,2,24,9,2,2,2,3,2,46.8,0.5,0.2
2017,February,,25,5,2,3,36,20,2,2,3,0,5,12.2,86400.0,0.2
2017,March,,21,7,1,0,32,17,3,3,0,2,4,47.7,0.2,0.2
2017,March,,22,7,1,0,34,17,3,3,0,4,4,40.5,3600.0,0.2
2017,March,,31,8,1,0,41,25,4,4,0,0,6,15.2,0.3,0.2
2017,March,,11,0,2,0,14,9,0,0,0,0,2,8.7,0.1,0.2
2017,March,,19,8,2,0,30,15,4,4,0,0,3,4.7,0.2,0.2
2017,April,,22,4,2,1,30,17,2,2,1,0,4,29.3,7200.0,0.2
2017,April,,17,10,1,0,31,14,5,5,0,2,3,17.0,0.2,0.2
2017,April,,16,6,2,2,29,13,3,3,2,2,3,41.3,0.2,0.2
2017,April,,18,4,1,3,33,15,2,2,3,5,4,11.1,0.2,0.2
2017,April,,20,4,1,0,27,16,2,2,0,0,4,5.9,0.1,0.2
2017,May,,21,5,2,2,31,17,2,2,2,0,4,8.3,0.2,0.2
2017,May,,36,0,2,2,45,28,0,0,2,4,7,8.1,7200.0,0.2
2017,May,,24,1,1,2,32,19,0,0,2,2,5,1.8,0.1,0.2
2017,May,,22,1,2,0,27,18,0,0,0,1,4,26.0,0.5,0.2
2017,May,,28,6,1,6,43,22,3,3,6,1,6,36.3,0.3,0.2
2017,June,,14,2,2,3,22,11,1,1,2,0,3,9.1,0.2,0.7
2017,June,,22,3,2,2,32,17,1,1,2,3,4,16.5,0.2,0.8
2017,June,,18,2,1,1,25,14,1,1,0,2,3,44.8,0.3,0.7
2017,June,,20,0,1,0,22,16,0,0,0,1,4,17.8,0.5,1.0
2017,June,,20,1,1,0,24,16,0,0,0,0,4,9.3,0.2,0.8
2017,July,,12,5,1,5,27,9,2,2,5,2,2,25.3,7200.0,0.9
2017,July,,10,9,1,3,26,8,4,4,3,2,2,28.7,3600.0,0.8
2017,July,,12,8,1,0,22,9,4,4,0,1,2,3.3,0.2,0.6
2017,July,,17,8,1,0,32,14,4,4,0,3,3,7.5,0.2,0.8
2017,July,,27,5,2,0,36,22,2,2,0,1,5,5.0,0.2,0.9
2017,August,,18,4,2,0,29,14,2,2,0,3,3,40.1,0.1,0.8
2017,August,,20,6,2,0,29,16,3,3,0,0,4,10.6,0.3,0.8
2017,August,,21,11,1,1,36,17,5,5,1,0,4,28.0,0.1,0.7
2017,August,,25,0,2,2,31,20,0,0,2,1,5,28.5,3600.0,0.9
2017,August,,22,7,1,0,32,18,3,3,0,0,4,44.6,3600.0,0.9
2017,September,,21,4,2,5,33,17,2,2,4,0,4,10.9,0.5,0.7
2017,September,,25,5,2,2,38,20,2,2,2,2,5,19.2,0.3,0.9
2017,September,,7,7,2,0,18,6,3,3,0,0,1,42.1,3600.0,0.8
2017,September,,21,3,1,0,28,16,1,1,0,2,4,36.6,3600.0,0.8
2017,September,,19,5,2,2,29,15,2,2,2,0,4,5.8,0.3,0.9
2017,October,,12,11,2,4,31,9,5,5,3,1,2,47.0,0.5,0.2
2017,October,,32,6,2,3,43,25,3,3,3,0,6,5.5,0.2,0.2
2017,October,,28,7,1,0,38,22,3,3,0,1,5,37.9,0.5,0.2
2017,October,,7,1,1,0,11,5,0,0,0,0,1,16.5,7200.0,0.2
2017,October,,19,5,1,2,31,15,2,2,1,2,4,43.4,0.5,0.2
2017,November,,27,9,1,3,41,21,4,4,3,1,5,4.2,0.2,0.2
2017,November,,17,5,2,1,29,14,2,2,1,2,3,3.4,0.3,0.2
2017,November,,14,2,2,2,22,11,1,1,2,0,3,42.7,0.3,0.2
2017,November,,14,1,2,1,19,11,0,0,1,0,3,43.2,0.3,0.2
2017,November,,33,5,2,2,45,26,2,2,2,1,6,11.3,0.1,0.2
2017,December,,23,13,1,2,40,18,6,6,1,0,4,4.4,0.2,0.2
2017,December,,2,4,1,2,12,2,2,2,2,1,0,46.8,7200.0,0.2
2017,December,,23,9,2,0,34,18,4,4,0,0,4,48.8,0.2,0.2
2017,December,,9,10,1,1,22,7,5,5,1,0,2,48.0,0.3,0.2
2017,December,,23,6,2,2,36,18,3,3,2,2,4,36.7,0.1,0.2
2018,January,,12,8,1,2,26,10,4,4,2,1,2,11.7,3600.0,0.2
2018,January,,15,2,2,6,26,12,1,1,5,0,3,26.6,7200.0,0.2
2018,January,,10,2,1,0,16,8,1,1,0,1,2,26.6,0.1,0.2
2018,January,,10,3,2,2,21,8,1,1,2,2,2,32.6,0.1,0.2
2018,January,,19,12,2,3,39,15,6,6,2,2,4,29.8,0.3,0.2
2018,February,,18,5,2,5,31,15,2,2,4,0,4,46.4,0.1,0.2
2018,February,,26,4,2,4,37,21,2,2,3,0,5,14.8,0.5,0.2
2018,February,,23,2,2,2,30,18,1,1,2,0,4,42.0,7200.0,0.2
2018,February,,9,5,1,1,19,7,2,2,1,1,1,15.6,0.2,0.2
2018,February,,11,2,2,0,18,8,1,1,0,3,2,28.9,0.2,0.2
2018,March,,6,1,1,0,11,5,0,0,0,2,1,22.8,0.1,0.2
2018,March,,15,8,2,3,31,12,4,4,3,1,3,26.0,0.5,0.2
2018,March,,12,4,1,2,23,10,2,2,2,3,2,39.3,0.3,0.2
2018,March,,18,6,1,0,29,15,3,3,0,2,3,43.1,7200.0,0.2
2018,March,,16,5,2,1,27,13,2,2,1,2,3,0.0,0.1,0.2
2018,April,,22,4,1,1,33,17,2,2,1,4,4,21.3,0.1,0.2
2018,April,,22,1,2,1,29,18,0,0,1,1,4,30.9,0.2,0.2
2018,April,,19,4,2,1,28,15,2,2,1,1,4,47.8,0.5,0.2
2018,April,,5,2,1,2,13,4,1,1,2,1,1,49.4,0.3,0.2
2018,April,,28,2,2,1,35,23,1,1,1,0,5,38.2,0.2,0.2
2018,May,,32,8,2,0,47,25,4,4,0,2,6,7.8,0.1,0.2
2018,May,,8,8,2,2,25,6,4,4,2,4,1,46.9,0.1,0.2
2018,May,,17,11,1,3,34,13,5,5,2,2,3,9.7,3600.0,0.2
2018,May,,19,7,2,1,34,15,3,3,1,3,4,44.3,0.3,0.2
2018,May,,11,7,2,0,24,9,3,3,0,1,2,16.1,0.5,0.2
2018,June,,10,6,2,4,27,8,3,3,4,2,2,9.2,0.2,0.9
2018,June,,17,4,1,1,26,14,2,2,1,1,3,14.1,0.1,0.9
2018,June,,15,0,2,1,20,12,0,0,1,1,3,28.0,7200.0,0.8
2018,June,,9,3,1,1,17,7,1,1,1,2,2,20.2,0.3,0.8
2018,June,,26,7,2,0,37,21,3,3,0,1,5,8.2,0.2,0.7
2018,July,,22,5,1,0,30,17,2,2,0,1,4,22.6,0.2,0.8
2018,July,,11,1,2,1,18,9,0,0,1,1,2,9.2,3600.0,0.8
2018,July,,29,6,2,1,39,23,3,3,1,0,5,41.1,0.2,0.8
2018,July,,11,7,2,0,23,9,3,3,0,1,2,17.4,0.3,0.8
2018,July,,16,8,2,0,29,13,4,4,0,2,3,3.9,0.2,0.8
2018,August,,17,7,2,1,29,14,3,3,1,0,3,37.0,7200.0,0.8
2018,August,,18,4,1,1,26,14,2,2,1,1,3,11.3,0.5,0.7
2018,August,,17,9,1,0,32,14,4,4,0,4,3,21.7,0.5,0.7
2018,August,,23,2,2,3,32,18,1,1,3,0,5,44.6,0.1,0.8
2018,August,,24,7,1,2,35,19,3,3,2,0,5,28.6,0.3,0.8
2018,September,,13,7,1,2,29,10,3,3,2,4,2,35.9,3600.0,0.9
2018,September,,18,9,2,0,35,14,4,4,0,4,3,0.6,0.3,0.8
2018,September,,13,9,1,1,25,11,4,4,0,0,2,44.5,0.1,0.8
2018,September,,12,3,2,0,19,10,1,1,0,1,2,18.2,0.2,0.9
2018,September,,20,2,2,1,27,16,1,1,1,0,4,41.8,0.2,0.8
2018,October,,9,3,1,2,17,7,1,1,1,0,2,13.5,86400.0,0.2
2018,October,,15,9,1,3,31,12,4,4,3,1,3,1.9,0.5,0.2
2018,October,,22,1,2,0,29,17,0,0,0,3,4,43.3,86400.0,0.2
2018,October,,14,6,1,0,22,11,3,3,0,0,2,48.6,0.2,0.2
2018,October,,30,12,1,0,48,24,6,6,0,4,6,3.9,0.3,0.2
2018,November,,13,5,1,2,23,11,2,2,2,0,3,43.2,0.3,0.2
2018,November,,14,3,1,0,19,11,1,1,0,1,2,34.1,0.2,0.2
2018,November,,22,8,2,0,33,18,4,4,0,0,4,39.2,0.5,0.2
2018,November,,15,7,2,4,30,12,3,3,3,0,3,19.4,0.5,0.2
2018,November,,24,5,2,0,33,19,2,2,0,1,4,31.7,0.5,0.2
2018,December,,11,7,2,1,23,9,3,3,1,1,2,13.4,3600.0,0.2
2018,December,,16,2,1,2,22,12,1,1,2,0,3,11.0,0.1,0.2
2018,December,,15,7,2,2,30,12,3,3,2,2,3,39.0,0.3,0.2
2018,December,,12,1,2,3,22,10,0,0,3,2,2,13.8,86400.0,0.2
2018,December,,14,7,2,1,26,11,3,3,1,2,2,12.1,0.3,0.2
